"id";"business_partner_id";"cost_center_id";"amount";"issued_at"
"Meinrad";"9bfcc86f-89cc-4b81-8503-82e046a92c06";"fc4c6465-1af9-4c2c-9b6e-a95233b22ac0";"Trupp";"NL"
"Marie-Louise";"9bfcc86f-89cc-4b81-8503-82e046a92c06";"b829e4c6-bc1f-4c75-be1d-ce24e50753f0";"Rohleder";"DE"
"Bertha";"9bfcc86f-89cc-4b81-8503-82e046a92c06";"8287a20b-136c-4497-9a3c-a7d531d27dd4";"Pergande";"DE"
"Adele";"dca27911-1500-42db-9f13-6d0204f28358";"f1eaa4fe-b608-4a30-b0e7-9a4821fae5a5";"Mentzel";"DE"
"Romaine";"d3ccac7b-ffe0-4fb4-8ae4-ebb9cdfb4380";"d98c2671-2477-48ed-b618-175f75709cbc";"Ziegert";"FR"
"Fabio";"d3ccac7b-ffe0-4fb4-8ae4-ebb9cdfb4380";"1020ea27-3a9a-4eb6-abaa-6c0085ccf6de";"Klingelhöfer";"CH"
"Damaris";"2e8a576a-3549-4f99-93f7-dd2c17a8ef14";"68e46cdd-fba3-4361-acab-76962fc84025";"Neureuther";"FR"
"Helga";"2e8a576a-3549-4f99-93f7-dd2c17a8ef14";"38cb16ed-b0e7-4816-947b-4787585df262";"Lorch";"FR"
"Patrícia";"717f890d-40a2-48b7-81a1-693bd25f8bce";"6eff4fb6-dbb4-4b5b-ac7e-a2ca23028619";"Mude";"DE"
"Admir";"717f890d-40a2-48b7-81a1-693bd25f8bce";"fc4c6465-1af9-4c2c-9b6e-a95233b22ac0";"Caspar";"DE"
"Jeannine";"f3773dbf-ecae-4e25-8543-2f01ce244348";"0732be5e-8624-4fc0-8603-2d25a465c835";"Cichorius";"CH"
"Mercedes";"1d2430ee-87bb-42cf-9e24-8eff6a7e8288";"1fcd3666-0b3e-4d6c-84fb-2a82ce7b7be6";"Eimer";"DE"
"Alina";"1d2430ee-87bb-42cf-9e24-8eff6a7e8288";"2efe2a0a-1504-4926-b937-79e60aa970af";"Koch";"DE"
"Melinda";"1d2430ee-87bb-42cf-9e24-8eff6a7e8288";"6f9bcb9e-12f4-4667-b308-cd18c3480b9d";"Hande";"DE"
"Labinot";"01b1477a-9c36-4780-a062-5fd1d2d2d5f9";"8287a20b-136c-4497-9a3c-a7d531d27dd4";"Hande";"PL"
"Marcelle";"01b1477a-9c36-4780-a062-5fd1d2d2d5f9";"0f26b891-32b3-45bd-8b22-9b88df7e6a20";"Scheuermann";"DE"
"Sanije";"01b1477a-9c36-4780-a062-5fd1d2d2d5f9";"b5c9a408-cd18-4729-bc9b-3baf59bb8a6c";"Gunpf";"CH"
"Aurelio";"caa18855-e567-4b86-a380-1fb8e4a540e6";"b5c9a408-cd18-4729-bc9b-3baf59bb8a6c";"Hölzenbecher";"FR"
"Aloisia";"0b819c22-a678-425f-94b1-d5909d261d8a";"f63cdb92-71aa-4113-ab0c-fcfdc5a6c652";"Kitzmann";"DE"
"Tuana";"758a5490-d81f-4239-b48a-46685948719b";"72abbdc1-5aa7-4cd3-801d-c969b49e60e9";"Speer";"DE"
"Isidor";"758a5490-d81f-4239-b48a-46685948719b";"1020ea27-3a9a-4eb6-abaa-6c0085ccf6de";"Steckel";"DE"
"Danica";"758a5490-d81f-4239-b48a-46685948719b";"6ad7063e-85d3-43f9-9072-0ee525105593";"Briemer";"DE"
"Tiffany";"6ffc2aed-ac08-4311-9a5d-2f9f63c1cedb";"e5b366ac-a1c8-4d09-8ea4-d0f4365cdc82";"Hörle";"DE"
"Waltraud";"bf5fc6b7-522c-4322-b25a-e737a07de3c0";"a925bad5-1a74-4a4c-81d7-e07187535dbe";"Adler";"DE"
"Sina";"bf5fc6b7-522c-4322-b25a-e737a07de3c0";"0547c403-dc11-48b8-a40d-00c4423e5a2c";"Beckmann";"DE"
"Artur";"bf5fc6b7-522c-4322-b25a-e737a07de3c0";"c8352810-b2a1-4497-a4c4-63d42894b3a5";"Klemt";"DE"
"Lydia";"ee44dd57-e600-4a8f-b540-859c2efb0b5e";"911c5574-865b-40fa-b148-474f6867f7bc";"Henk";"DE"
"Fernanda";"ee44dd57-e600-4a8f-b540-859c2efb0b5e";"aca4f645-1690-4c7d-8d3d-1047174adc98";"Hartung";"CH"
"Evelyn";"ee44dd57-e600-4a8f-b540-859c2efb0b5e";"94c8190a-73a0-4af8-9abd-db4e44dd6907";"Wulf";"DE"
"Kristian";"89d01e2a-2861-457c-ba2a-fb95017529f9";"aac713fd-ce10-437c-92b9-9b791581e6e1";"Beckmann";"AT"
"Rui";"89d01e2a-2861-457c-ba2a-fb95017529f9";"755030fe-5f6f-4c6e-af71-0e18dbf9fb14";"Junitz";"AT"
"Janis";"89d01e2a-2861-457c-ba2a-fb95017529f9";"a9842d1f-a703-4d89-9236-1389d0352bc6";"Juncken";"DE"
"Mirela";"26aba756-336c-43d3-ad67-212464b43c04";"b829e4c6-bc1f-4c75-be1d-ce24e50753f0";"Johann";"DE"
"Horst";"2c9c300e-2323-4495-a8c1-1085ef554004";"c37cd25b-5232-47db-8d00-115b24f36cff";"Kostolzin";"DE"
"Josefine";"2c9c300e-2323-4495-a8c1-1085ef554004";"cc43d6ee-80bf-4c93-b521-4b2c46fe5ca4";"Nohlmans";"DE"
"Heinz";"47d95011-fdb6-43e7-899c-ea3a8cfd442b";"b2fa5d1f-868b-4cd4-b97b-e8252a70741d";"Heintze";"DE"
"Endrit";"47d95011-fdb6-43e7-899c-ea3a8cfd442b";"ea2370fe-0505-464a-a3cd-cc1b023a39f5";"Klemt";"CH"
"Angelica";"47d95011-fdb6-43e7-899c-ea3a8cfd442b";"fc4c6465-1af9-4c2c-9b6e-a95233b22ac0";"Hövel";"CH"
"Gilberte";"784774f9-781d-4ebe-93c9-6af53e572862";"713c60b2-6984-4448-be2f-f7beb0b8759d";"Holsten";"DE"
"Virginia";"784774f9-781d-4ebe-93c9-6af53e572862";"c76a37ec-675a-47f5-983d-8c97acf41a56";"Walter";"IT"
"Willi";"8fb0cf4f-6efe-40f4-a617-6a4d93336ce0";"2efe2a0a-1504-4926-b937-79e60aa970af";"Heintze";"AT"
"Séverine";"d778619d-d6b4-4b84-8325-e07cae252b05";"fbc02e84-43e0-4840-bc06-a1c2b1f3f28c";"Roht";"DE"
"Inês";"ce2d7b1b-ff18-4dbd-98c5-2d5261e93631";"ee5827fe-2d52-4e4b-95bc-19abfc1f9dc7";"Putz";"DE"
"Michela";"ce2d7b1b-ff18-4dbd-98c5-2d5261e93631";"6ad7063e-85d3-43f9-9072-0ee525105593";"Hendriks";"DE"
"Maeva";"61c026a8-1dd1-4248-9754-48ed6eec293b";"3b4fc8c1-692c-48c3-809c-f585ea9ccea1";"Thanel";"DE"
"Carina";"61c026a8-1dd1-4248-9754-48ed6eec293b";"57daf438-1004-4784-bfef-dfd600a9c028";"Ladeck";"DE"
"Muhamet";"61c026a8-1dd1-4248-9754-48ed6eec293b";"aca4f645-1690-4c7d-8d3d-1047174adc98";"Juncken";"DE"
"Stjepan";"28945a5e-9ae1-4bca-a52b-29922f6d727c";"021bc5b6-617e-48e9-a182-24493b2088c2";"Neureuther";"IT"
"Ibrahim";"28945a5e-9ae1-4bca-a52b-29922f6d727c";"a4baf9cb-ce2b-48b5-ade4-bc5d25170033";"Stiebitz";"NL"
