"id";"first_name";"last_name";"email";"country";"newsletter";"created_at"
"CUST-000001";"Raymund";"Meister";"Raymund.Meister@example.com";"DE";"True";"2026-03-02 09:14:19"
"CUST-000002";"Sandor";"Rogner";"Sandor.Rogner@example.com";"DE";"True";"2026-01-23 17:22:48"
"CUST-000003";"Aldo";"Wulff";"Aldo.Wulff@example.com";"DE";"False";"2026-02-22 23:47:05"
"CUST-000004";"Alban";"Kostolzin";"Alban.Kostolzin@example.com";"DE";"False";"2026-05-11 04:18:16"
"CUST-000005";"Heide";"Pruschke";"Heide.Pruschke@example.com";"PL";"True";"2026-04-12 08:57:34"
"CUST-000006";"Karl";"van der Dussen";"Karl.van der Dussen@example.com";"DE";"True";"2026-01-19 11:33:51"
"CUST-000007";"Folker";"Baum";"Folker.Baum@example.com";"DE";"False";"2026-07-31 12:20:30"
"CUST-000008";"Lotti";"Pieper";"Lotti.Pieper@example.com";"FR";"False";"2026-01-22 06:03:42"
"CUST-000009";"Elly";"Hering";"Elly.Hering@example.com";"DE";"True";"2026-04-23 06:52:10"
"CUST-000010";"Geert";"Heß";"Geert.Heß@example.com";"DE";"True";"2026-08-09 11:33:05"
"CUST-000011";"Rosita";"Hölzenbecher";"Rosita.Hölzenbecher@example.com";"DE";"True";"2026-01-16 21:59:42"
"CUST-000012";"Jacek";"Rogge";"Jacek.Rogge@example.com";"AT";"False";"2026-01-06 04:25:24"
"CUST-000013";"Margit";"Bohlander";"Margit.Bohlander@example.com";"FR";"False";"2026-02-19 19:02:53"
"CUST-000014";"Carsten";"Kusch";"Carsten.Kusch@example.com";"DE";"True";"2026-04-02 18:51:18"
"CUST-000015";"Cornelius";"Förster";"Cornelius.Förster@example.com";"NL";"False";"2026-06-16 11:07:58"
"CUST-000016";"Carmelo";"Briemer";"Carmelo.Briemer@example.com";"AT";"True";"2026-06-08 13:54:56"
"CUST-000017";"Kerstin";"Zirme";"Kerstin.Zirme@example.com";"AT";"False";"2026-07-02 22:17:37"
"CUST-000018";"Liane";"Putz";"Liane.Putz@example.com";"DE";"True";"2026-03-04 16:57:49"
"CUST-000019";"Dittmar";"Heinrich";"Dittmar.Heinrich@example.com";"NL";"True";"2026-07-31 22:50:56"
"CUST-000020";"Maximilian";"Reuter";"Maximilian.Reuter@example.com";"PL";"True";"2026-03-23 19:57:25"
"CUST-000021";"Mato";"Schaaf";"Mato.Schaaf@example.com";"NL";"True";"2026-02-15 19:29:00"
"CUST-000022";"Aneta";"Jockel";"Aneta.Jockel@example.com";"CH";"True";"2026-02-16 17:56:28"
"CUST-000023";"Ruthild";"Scheibe";"Ruthild.Scheibe@example.com";"DE";"True";"2026-03-18 15:46:16"
"CUST-000024";"Gisela";"Jähn";"Gisela.Jähn@example.com";"PL";"False";"2026-06-06 21:17:59"
"CUST-000025";"Alida";"Neureuther";"Alida.Neureuther@example.com";"DE";"True";"2026-05-21 05:44:13"
"CUST-000026";"Charles";"Röhrdanz";"Charles.Röhrdanz@example.com";"AT";"False";"2026-05-18 09:50:06"
"CUST-000027";"Calogero";"Gotthard";"Calogero.Gotthard@example.com";"CH";"False";"2026-02-01 15:49:39"
"CUST-000028";"Uli";"Schleich";"Uli.Schleich@example.com";"AT";"False";"2026-08-06 17:45:16"
"CUST-000029";"Heinz-Gerd";"Jungfer";"Heinz-Gerd.Jungfer@example.com";"DE";"False";"2026-03-24 13:33:53"
"CUST-000030";"Kazim";"Heß";"Kazim.Heß@example.com";"DE";"False";"2026-03-11 08:41:52"
"CUST-000031";"Marcella";"Stadelmann";"Marcella.Stadelmann@example.com";"DE";"False";"2026-02-08 18:39:52"
"CUST-000032";"Kristine";"Kraushaar";"Kristine.Kraushaar@example.com";"DE";"True";"2026-04-24 05:38:44"
"CUST-000033";"Alexandros";"Bruder";"Alexandros.Bruder@example.com";"CH";"False";"2026-05-01 10:24:44"
"CUST-000034";"Karoline";"Mohaupt";"Karoline.Mohaupt@example.com";"CH";"False";"2026-01-13 14:16:37"
"CUST-000035";"Ortrud";"Nette";"Ortrud.Nette@example.com";"PL";"False";"2026-02-22 06:43:56"
"CUST-000036";"Annegrete";"Hertrampf";"Annegrete.Hertrampf@example.com";"NL";"False";"2026-04-27 07:53:03"
"CUST-000037";"Kathi";"Hahn";"Kathi.Hahn@example.com";"DE";"False";"2026-04-14 03:41:35"
"CUST-000038";"Mathias";"Tlustek";"Mathias.Tlustek@example.com";"AT";"False";"2026-06-29 17:00:14"
"CUST-000039";"Jasmina";"Scholtz";"Jasmina.Scholtz@example.com";"DE";"False";"2026-05-30 09:54:55"
"CUST-000040";"Katja";"Jacob";"Katja.Jacob@example.com";"DE";"True";"2026-06-16 03:41:48"
"CUST-000041";"Victor";"Tintzmann";"Victor.Tintzmann@example.com";"NL";"False";"2026-05-24 10:20:45"
"CUST-000042";"Cornelius";"Weinhold";"Cornelius.Weinhold@example.com";"NL";"True";"2026-03-03 17:30:44"
"CUST-000043";"Lidija";"Loos";"Lidija.Loos@example.com";"NL";"False";"2026-06-12 12:39:52"
"CUST-000044";"Ivanka";"Klingelhöfer";"Ivanka.Klingelhöfer@example.com";"DE";"False";"2026-04-04 12:51:31"
"CUST-000045";"Timo";"Drubin";"Timo.Drubin@example.com";"DE";"False";"2026-02-01 18:39:00"
"CUST-000046";"Edith";"Ebert";"Edith.Ebert@example.com";"AT";"True";"2026-03-22 12:24:24"
"CUST-000047";"Ottilie";"Seifert";"Ottilie.Seifert@example.com";"DE";"False";"2026-05-17 22:34:10"
"CUST-000048";"Oliver";"Meister";"Oliver.Meister@example.com";"DE";"False";"2026-07-16 01:16:45"
"CUST-000049";"Karl-Wilhelm";"Hertrampf";"Karl-Wilhelm.Hertrampf@example.com";"DE";"False";"2026-06-24 02:15:45"
"CUST-000050";"Edgar";"Junitz";"Edgar.Junitz@example.com";"DE";"True";"2026-04-05 17:07:26"
"CUST-000051";"Andrzej";"Schmidt";"Andrzej.Schmidt@example.com";"FR";"False";"2026-03-10 15:45:46"
"CUST-000052";"Ottomar";"Carsten";"Ottomar.Carsten@example.com";"CH";"True";"2026-02-15 04:25:09"
"CUST-000053";"Hans-Ulrich";"Langern";"Hans-Ulrich.Langern@example.com";"DE";"True";"2026-05-27 19:16:36"
"CUST-000054";"Alexei";"Schleich";"Alexei.Schleich@example.com";"DE";"True";"2026-05-19 06:10:34"
