"id";"first_name";"last_name";"email";"country";"bundesland";"stadt";"plz";"iban";"newsletter";"created_at"
"CUST-000001";"Constance";"Gnatz";"Constance.Gnatz@example.com";"DE";"Baden-Württemberg";"Stuttgart";"70173";"DE10909200067339241063";"False";"2026-04-08 02:25:01"
"CUST-000002";"Dusan";"Staude";"Dusan.Staude@example.com";"DE";"Rheinland-Pfalz";"Mainz";"55116";"DE16618214252074846497";"False";"2026-03-05 04:56:42"
"CUST-000003";"Marijan";"Kroker";"Marijan.Kroker@example.com";"CH";"Niedersachsen";"Hannover";"30159";"DE88401904385382450474";"True";"2026-07-08 23:43:27"
"CUST-000004";"Sigismund";"Klingelhöfer";"Sigismund.Klingelhöfer@example.com";"DE";"Bayern";"München";"80331";"DE82089109074202343072";"False";"2026-06-13 14:41:24"
"CUST-000005";"Volkmar";"Radisch";"Volkmar.Radisch@example.com";"AT";"Sachsen";"Leipzig";"04109";"DE91875765623600009230";"True";"2026-05-22 21:00:33"
"CUST-000006";"Adolfine";"Franke";"Adolfine.Franke@example.com";"DE";"Baden-Württemberg";"Stuttgart";"70173";"DE36048500551576377673";"True";"2026-04-04 22:57:03"
"CUST-000007";"Tilly";"Junck";"Tilly.Junck@example.com";"FR";"Niedersachsen";"Hannover";"30159";"DE74640797801729370204";"False";"2026-02-24 02:58:44"
"CUST-000008";"Drago";"Berger";"Drago.Berger@example.com";"CH";"Sachsen-Anhalt";"Magdeburg";"39104";"DE49097583005905942783";"False";"2026-05-06 19:13:21"
"CUST-000009";"Leonid";"Geisler";"Leonid.Geisler@example.com";"DE";"Nordrhein-Westfalen";"Köln";"50667";"DE03028455681118124747";"True";"2026-01-22 07:54:53"
"CUST-000010";"Hüseyin";"Birnbaum";"Hüseyin.Birnbaum@example.com";"NL";"Schleswig-Holstein";"Kiel";"24103";"DE31578558431265620928";"False";"2026-04-13 02:28:21"
"CUST-000011";"Valentina";"Vollbrecht";"Valentina.Vollbrecht@example.com";"DE";"Sachsen-Anhalt";"Magdeburg";"39104";"DE58304416993776579128";"True";"2026-06-21 10:04:12"
"CUST-000012";"Frederic";"Adler";"Frederic.Adler@example.com";"DE";"Baden-Württemberg";"Stuttgart";"70173";"DE64865826539975974115";"True";"2026-06-21 09:33:39"
"CUST-000013";"Irmtraut";"Junitz";"Irmtraut.Junitz@example.com";"DE";"Sachsen";"Leipzig";"04109";"DE02175228811014276201";"False";"2026-01-27 03:59:27"
"CUST-000014";"Emilia";"Segebahn";"Emilia.Segebahn@example.com";"DE";"Bayern";"München";"80331";"DE15809014475794596440";"True";"2026-06-19 05:27:08"
"CUST-000015";"Abraham";"Pieper";"Abraham.Pieper@example.com";"PL";"Niedersachsen";"Hannover";"30159";"DE74566323164840525893";"True";"2026-04-26 16:43:14"
"CUST-000016";"Rico";"Klingelhöfer";"Rico.Klingelhöfer@example.com";"DE";"Bayern";"München";"80331";"DE61414893133411828571";"True";"2026-04-06 08:00:44"
"CUST-000017";"Justine";"Pohl";"Justine.Pohl@example.com";"NL";"Niedersachsen";"Hannover";"30159";"DE25700692573638172094";"False";"2026-05-18 20:48:31"
"CUST-000018";"Volker";"Trapp";"Volker.Trapp@example.com";"DE";"Nordrhein-Westfalen";"Köln";"50667";"DE06477287780039397417";"True";"2026-03-25 10:03:32"
"CUST-000019";"Gülten";"Sontag";"Gülten.Sontag@example.com";"DE";"Berlin";"Berlin";"10115";"DE48609304690267570105";"False";"2026-02-18 01:38:28"
"CUST-000020";"Siegrid";"Winkler";"Siegrid.Winkler@example.com";"NL";"Nordrhein-Westfalen";"Köln";"50667";"DE74136298016615163198";"True";"2026-04-29 09:51:17"
"CUST-000021";"Frank-Michael";"Mans";"Frank-Michael.Mans@example.com";"DE";"Brandenburg";"Potsdam";"14467";"DE47395191549493872379";"False";"2026-06-19 20:26:12"
"CUST-000022";"Christine";"Schwital";"Christine.Schwital@example.com";"AT";"Nordrhein-Westfalen";"Köln";"50667";"DE12781129992319490154";"False";"2026-06-21 12:15:21"
"CUST-000023";"Katalin";"Dörr";"Katalin.Dörr@example.com";"CH";"Thüringen";"Erfurt";"99084";"DE80672941530950845726";"True";"2026-08-12 14:21:42"
"CUST-000024";"Frauke";"Weiß";"Frauke.Weiß@example.com";"CH";"Sachsen-Anhalt";"Magdeburg";"39104";"DE20912842024703487111";"False";"2026-05-11 18:09:15"
"CUST-000025";"Thomas";"Wilmsen";"Thomas.Wilmsen@example.com";"DE";"Bayern";"München";"80331";"DE50135675023253964796";"True";"2026-06-09 13:32:49"
"CUST-000026";"Gertraude";"Schenk";"Gertraude.Schenk@example.com";"DE";"Schleswig-Holstein";"Kiel";"24103";"DE58745789304957656657";"True";"2026-01-26 03:56:12"
"CUST-000027";"Engelbert";"Fritsch";"Engelbert.Fritsch@example.com";"DE";"Niedersachsen";"Hannover";"30159";"DE38006241884914806880";"True";"2026-07-11 03:40:00"
"CUST-000028";"Ottomar";"Junken";"Ottomar.Junken@example.com";"CH";"Berlin";"Berlin";"10115";"DE14182413694671484877";"True";"2026-05-28 02:34:13"
"CUST-000029";"Henriette";"Gertz";"Henriette.Gertz@example.com";"CH";"Niedersachsen";"Hannover";"30159";"DE18984844212307865437";"True";"2026-01-29 12:15:38"
"CUST-000030";"Hanni";"auch Schlauchin";"Hanni.auch Schlauchin@example.com";"DE";"Nordrhein-Westfalen";"Köln";"50667";"DE85848017227137911222";"True";"2026-01-19 13:28:13"
"CUST-000031";"Dorle";"Junitz";"Dorle.Junitz@example.com";"PL";"Sachsen";"Leipzig";"04109";"DE46622886307777448625";"True";"2026-07-18 13:49:01"
"CUST-000032";"Tom";"Bruder";"Tom.Bruder@example.com";"NL";"Nordrhein-Westfalen";"Köln";"50667";"DE93766207433168200967";"True";"2026-06-10 01:04:37"
"CUST-000033";"Gottlob";"Metz";"Gottlob.Metz@example.com";"CH";"Nordrhein-Westfalen";"Köln";"50667";"DE09460606544714988315";"False";"2026-05-26 05:17:53"
"CUST-000034";"Kornelia";"Salz";"Kornelia.Salz@example.com";"DE";"Bayern";"München";"80331";"DE04102907366867708146";"False";"2026-02-18 06:28:16"
"CUST-000035";"Nadeschda";"Sauer";"Nadeschda.Sauer@example.com";"PL";"Hessen";"Frankfurt am Main";"60311";"DE93726979903793266433";"True";"2026-04-01 04:03:20"
"CUST-000036";"Elwira";"Dörr";"Elwira.Dörr@example.com";"FR";"Bayern";"München";"80331";"DE95771491357959636728";"False";"2026-08-09 00:31:32"
